x,cortante,momento,pendiente,deflexion
0.811509591326105,110370.214285714,103779.2664720598,0.026209009908260292,-0.2688376608056578
0.817347789824854,110118.214285714,104422.89407839841,0.02657077346217755,-0.2706697943129987
0.823185988323603,109866.214285714,105065.05045871536,0.02693477114173189,-0.2724998092512677
0.8290241868223519,109614.214285714,105705.73561301059,0.027300997834239053,-0.27432769259212036
0.8348623853211009,109362.214285714,106344.94954128415,0.027669448427014798,-0.27615343133706105
0.8407005838198498,109110.214285714,106982.69224353602,0.02804011780737485,-0.27797701251744295
0.8465387823185988,108858.214285714,107618.96371976621,0.02841300086263497,-0.2797984231944681
0.8523769808173478,108606.214285714,108253.76396997472,0.028788092480110893,-0.28161765045918763
0.8582151793160967,108354.214285714,108887.09299416153,0.029165387547118355,-0.28343468143250117
0.8640533778148457,108102.214285714,109518.95079232668,0.029544880950973112,-0.2852495032651575
0.8698915763135946,107850.214285714,110149.33736447012,0.029926567578990895,-0.28706210313775415
0.8757297748123436,107598.214285714,110778.25271059189,0.030310442318487462,-0.28887246826073754
0.8815679733110925,107346.214285714,111405.69683069196,0.030696500056778542,-0.290680585874403
0.8874061718098415,107094.214285714,112031.66972477036,0.03108473568117989,-0.29248644324889456
0.8932443703085905,106842.214285714,112656.17139282708,0.03147514407900724,-0.29429002768420537
0.8990825688073394,106590.214285714,113279.20183486209,0.03186772013757634,-0.2960913265101771
0.9049207673060884,106338.214285714,113900.76105087544,0.032262458744202936,-0.2978903270865008
0.9107589658048373,106086.214285714,114520.84904086709,0.032659354786202764,-0.29968701680271576
0.9165971643035863,105834.214285714,115139.46580483708,0.03305840315089158,-0.30148138307821076
0.9224353628023353,105582.214285714,115756.61134278537,0.03345959872558511,-0.3032734133622229
0.9282735613010842,105330.214285714,116372.28565471197,0.03386293639759911,-0.3050630951338385
0.9341117597998332,105078.214285714,116986.4887406169,0.034268411054249326,-0.30685041590199263
0.9399499582985821,104826.214285714,117599.22060050012,0.034676017582851486,-0.3086353632054692
0.9457881567973311,104574.214285714,118210.48123436168,0.03508575087072135,-0.310417924612901
0.9516263552960801,104322.214285714,118820.27064220155,0.03549760580517465,-0.31219808772276975
0.957464553794829,104070.214285714,119428.58882401972,0.03591157727352713,-0.31397584016340596
0.963302752293578,103818.214285714,120035.43577981622,0.03632766016309454,-0.315751169592989
0.9691409507923269,103566.214285714,120640.81150959103,0.03674584936119262,-0.31752406369954717
0.9749791492910759,103314.214285714,121244.71601334416,0.03716613975513712,-0.31929451020095756
0.9808173477898248,103062.214285714,121847.1492910756,0.03758852623224377,-0.3210624968449463
0.9866555462885738,102810.214285714,122448.11134278537,0.03801300367982832,-0.32282801140908807
0.9924937447873228,102558.214285714,123047.60216847344,0.03843956698520652,-0.3245910417008067
0.9983319432860717,102306.214285714,123645.62176813983,0.0388682110356941,-0.32635157555737476
1.0041701417848206,102054.214285714,124242.17014178452,0.03929893071860681,-0.3281096008459136
1.0100083402835696,101802.214285714,124837.24728940755,0.0397317209212604,-0.32986510546339387
1.0158465387823186,101550.214285714,125430.85321100889,0.0401665765309706,-0.3316180773366345
1.0216847372810676,101298.214285714,126022.98790658853,0.04060349243505317,-0.33336850442230354
1.0275229357798166,101046.214285714,126613.6513761465,0.041042463520823844,-0.33511637470691796
1.0333611342785654,100794.214285714,127202.84361968277,0.04148348467559835,-0.3368616762068435
1.0391993327773144,100542.214285714,127790.56463719737,0.04192655078669246,-0.33860439696829486
1.0450375312760634,100290.214285714,128376.81442869028,0.042371656741421904,-0.34034452506733565
1.0508757297748124,100038.214285714,128961.59299416152,0.04281879742710243,-0.3420820486098781
1.0567139282735614,99786.214285714,129544.90033361106,0.043267967731049774,-0.34381695573168364
